Key word	Key Word2	Key Word3	Instruction
Pain	Back	Gel	Apply ibuprofen gel to my lower back
Drink	Water	Now	I need a drink of water please
Mask	On		NIV mask on now please
Scratch	Shoulder		Please scratch my left shoulder
Cough	Assist	Machine	Run the cough assist now
Transfer	Chair	Ready	Help me transfer to the chair
Feed	RIG	Pump	Start my feed through the tube
Phone	Charge		Charge my phone please
Fan	On		Please turn the fan on
Table	Close		Move the overbed table closer
Head	Support		Adjust my head support
Legs	Pain	Stretch	Stretch my legs, they hurt
Suction	Now		Use the suction machine now
Move	Hand	Support	Reposition my hand with support
Blanket	On		Please put the blanket on me
